,ID,longitude,latitude,ST,TS,TS_PCODE
110,111,97.02893066,22.54298592,Shan (North),Kyaukme,MMR015012
111,112,93.12929535,20.21015739,Rakhine,Minbya,MMR012005
112,113,97.91607666,23.444585800000002,Shan (North),Kutkai,MMR015011
113,114,97.29946899,24.11584473,Kachin,Mansi,MMR001013
114,115,97.96551514,23.44710541,Shan (North),Kutkai,MMR015011
115,116,97.91607666,23.44710541,Shan (North),Kutkai,MMR015011
116,117,97.94354248,23.44912148,Shan (North),Kutkai,MMR015011
117,118,97.94628906,23.44786263,Shan (North),Kutkai,MMR015011
118,119,97.30221558,24.11615944,Kachin,Mansi,MMR001013
119,120,97.16969299,22.96406746,Shan (North),Namhsan,MMR015016
120,121,97.1607666,22.96501732,Shan (North),Namhsan,MMR015016
121,122,97.30152893,24.11615944,Kachin,Mansi,MMR001013
122,123,97.14222717,23.59354973,Shan (North),Mabein,MMR015018
123,124,97.29397583,24.11678505,Kachin,Mansi,MMR001013
124,125,97.30015564,24.11615944,Kachin,Mansi,MMR001013
125,126,97.96002197,23.44836426,Shan (North),Kutkai,MMR015011
126,127,94.30500793,24.21138382,Sagaing,Tamu,MMR005030
127,128,97.30702209,24.11615944,Kachin,Mansi,MMR001013
128,129,97.92431641,23.444585800000002,Shan (North),Kutkai,MMR015011
129,130,97.68261719,23.83024788,Shan (North),Namhkan,MMR015010
130,131,97.30168152,24.11684418,Kachin,Mansi,MMR001013
131,132,97.38667297,20.92953682,Shan (South),Loilen,MMR014011
132,133,97.39353943,20.92307472,Shan (South),Hopong,MMR014003
133,134,97.30358887,24.11678505,Kachin,Mansi,MMR001013
134,135,97.96551514,23.44710541,Shan (North),Kutkai,MMR015011
135,136,97.94903564,23.444585800000002,Shan (North),Kutkai,MMR015011
136,137,97.15390015,22.96444893,Shan (North),Namhsan,MMR015016
137,138,97.86595154,23.55742645,Shan (North),Kutkai,MMR015011
138,139,97.89959717,23.55037689,Shan (North),Kutkai,MMR015011
139,140,97.92706299,23.478094100000003,Shan (North),Kutkai,MMR015011
140,141,97.40032196,23.09576035,Shan (North),Namtu,MMR015015
141,142,97.902771,23.97867775,Shan (North),Muse,MMR015009
142,143,97.89719391,23.97720337,Shan (North),Muse,MMR015009
143,144,98.65216064,23.4229126,Shan (North),Kunlong,MMR015020
144,145,97.01931763,22.54805946,Shan (North),Kyaukme,MMR015012
145,146,97.95452881,23.444585800000002,Shan (North),Kutkai,MMR015011
146,147,97.01794434,22.56835175,Shan (North),Kyaukme,MMR015012
147,148,97.52468872,21.602264399999996,Shan (South),Mongkaing,MMR014016
148,149,97.30350494,24.11549377,Kachin,Mansi,MMR001013
149,150,97.29946899,24.11615944,Kachin,Mansi,MMR001013
150,151,97.96276855,23.44710541,Shan (North),Kutkai,MMR015011
151,152,97.72553253,20.88984871,Shan (South),Nansang,MMR014013
152,153,97.0234375,22.56835175,Shan (North),Kyaukme,MMR015012
153,154,97.07836914,22.57595825,Shan (North),Kyaukme,MMR015012
